Task #141592653: depth 0, type 3, seed 141592653, output 19434 (2 descendants)
Task #89793238: depth 0, type 5, seed 89793238, output 1062597271 (2 descendants)
Task #62643383: depth 0, type 4, seed 62643383, output 875782960 (2 descendants)
Task #79502884: depth 0, type 2, seed 79502884, output 4130193848 (2 descendants)
Task #971693993: depth 0, type 1, seed 971693993, output 48843 (2 descendants)
Task #652010964: depth 1, type 1, seed 652010964, output 666841 (2 descendants)
Task #2517897207: depth 1, type 3, seed 2517897207, output 16429 (2 descendants)
Task #2716668052: depth 1, type 2, seed 2716668052, output 222527545 (2 descendants)
Task #3122364525: depth 1, type 3, seed 3122364525, output 19384 (2 descendants)
Task #1392290906: depth 1, type 4, seed 1392290906, output 929249638 (2 descendants)
Task #406464510: depth 1, type 4, seed 406464510, output 845231973 (2 descendants)
Task #2370187285: depth 1, type 1, seed 2370187285, output 1038488 (2 descendants)
Task #346194923: depth 1, type 3, seed 346194923, output 11749 (2 descendants)
Task #3974328775: depth 1, type 5, seed 3974328775, output 2076697240 (2 descendants)
Task #3263322596: depth 1, type 4, seed 3263322596, output 1717647414 (2 descendants)
Task #4155829297: depth 2, type 4, seed 4155829297, output 946157873 (2 descendants)
Task #1794796636: depth 2, type 3, seed 1794796636, output 19569 (2 descendants)
Task #146366927: depth 2, type 4, seed 146366927, output 1697920312 (2 descendants)
Task #4080121344: depth 2, type 5, seed 4080121344, output 1715286972 (2 descendants)
Task #3587657211: depth 2, type 4, seed 3587657211, output 909456484 (2 descendants)
Task #2103005562: depth 2, type 1, seed 2103005562, output 483240 (2 descendants)
Task #664711011: depth 2, type 1, seed 664711011, output 957314 (2 descendants)
Task #1130610681: depth 2, type 3, seed 1130610681, output 18654 (2 descendants)
Task #1505098081: depth 2, type 1, seed 1505098081, output 963051 (2 descendants)
Task #2751360963: depth 2, type 2, seed 2751360963, output 49709569 (2 descendants)
Task #2235447619: depth 2, type 3, seed 2235447619, output 18886 (2 descendants)
Task #4043087920: depth 2, type 1, seed 4043087920, output 718484 (2 descendants)
Task #2559051734: depth 2, type 2, seed 2559051734, output 1407239787 (2 descendants)
Task #4105055678: depth 2, type 5, seed 4105055678, output 4097029520 (2 descendants)
Task #2989320283: depth 2, type 1, seed 2989320283, output 967208 (2 descendants)
Task #2747430455: depth 2, type 2, seed 2747430455, output 3139740305 (2 descendants)
Task #1962969874: depth 2, type 2, seed 1962969874, output 3948582058 (2 descendants)
Task #556205481: depth 2, type 1, seed 556205481, output 887283 (2 descendants)
Task #1838991397: depth 2, type 1, seed 1838991397, output 19696 (2 descendants)
Task #2719893360: depth 2, type 1, seed 2719893360, output 244954 (2 descendants)
Task #1999209616: depth 3, type 4, seed 1999209616, output 1664234806 (2 descendants)
Task #2068483812: depth 3, type 5, seed 2068483812, output 2017967879 (2 descendants)
Task #943947382: depth 3, type 1, seed 943947382, output 975674 (2 descendants)
Task #191451156: depth 3, type 3, seed 191451156, output 17955 (2 descendants)
Task #2449201873: depth 3, type 3, seed 2449201873, output 14551 (2 descendants)
Task #2649023859: depth 3, type 2, seed 2649023859, output 2512102175 (2 descendants)
Task #3373310137: depth 3, type 4, seed 3373310137, output 892745784 (2 descendants)
