Task #3211: depth 0, type 1, seed 3211, output 1018250 (0 descendants)
Task #4223: depth 0, type 2, seed 4223, output 1169977978 (0 descendants)
Task #4231: depth 0, type 3, seed 4231, output 21010 (0 descendants)
Task #5222: depth 0, type 4, seed 5222, output 1697866035 (0 descendants)
Task #5224: depth 0, type 5, seed 5224, output 1761916630 (0 descendants)
Task #3211: depth 0, type 1, seed 3211, output 1018250 (0 descendants)
Task #4223: depth 0, type 2, seed 4223, output 1169977978 (0 descendants)
Task #4231: depth 0, type 3, seed 4231, output 21010 (0 descendants)
Task #5222: depth 0, type 4, seed 5222, output 1697866035 (0 descendants)
Task #5224: depth 0, type 5, seed 5224, output 1761916630 (0 descendants)
Task #3211: depth 0, type 1, seed 3211, output 1018250 (0 descendants)
Task #4223: depth 0, type 2, seed 4223, output 1169977978 (0 descendants)
Task #4231: depth 0, type 3, seed 4231, output 21010 (0 descendants)
Task #5222: depth 0, type 4, seed 5222, output 1697866035 (0 descendants)
Task #5224: depth 0, type 5, seed 5224, output 1761916630 (0 descendants)
Task #3211: depth 0, type 1, seed 3211, output 1018250 (0 descendants)
Task #4223: depth 0, type 2, seed 4223, output 1169977978 (0 descendants)
Task #4231: depth 0, type 3, seed 4231, output 21010 (0 descendants)
Task #5222: depth 0, type 4, seed 5222, output 1697866035 (0 descendants)
Task #5224: depth 0, type 5, seed 5224, output 1761916630 (0 descendants)
Task #3211: depth 0, type 1, seed 3211, output 1018250 (0 descendants)
Task #4223: depth 0, type 2, seed 4223, output 1169977978 (0 descendants)
Task #4231: depth 0, type 3, seed 4231, output 21010 (0 descendants)
Task #5222: depth 0, type 4, seed 5222, output 1697866035 (0 descendants)
Task #5224: depth 0, type 5, seed 5224, output 1761916630 (0 descendants)
Task #3211: depth 0, type 1, seed 3211, output 1018250 (0 descendants)
Task #4223: depth 0, type 2, seed 4223, output 1169977978 (0 descendants)
Task #4231: depth 0, type 3, seed 4231, output 21010 (0 descendants)
Task #5222: depth 0, type 4, seed 5222, output 1697866035 (0 descendants)
Task #5224: depth 0, type 5, seed 5224, output 1761916630 (0 descendants)
Task #3211: depth 0, type 1, seed 3211, output 1018250 (0 descendants)
Task #4223: depth 0, type 2, seed 4223, output 1169977978 (0 descendants)
Task #4231: depth 0, type 3, seed 4231, output 21010 (0 descendants)
Task #5222: depth 0, type 4, seed 5222, output 1697866035 (0 descendants)
Task #5224: depth 0, type 5, seed 5224, output 1761916630 (0 descendants)
Task #3211: depth 0, type 1, seed 3211, output 1018250 (0 descendants)
Task #4223: depth 0, type 2, seed 4223, output 1169977978 (0 descendants)
Task #4231: depth 0, type 3, seed 4231, output 21010 (0 descendants)
Task #5222: depth 0, type 4, seed 5222, output 1697866035 (0 descendants)
Task #5224: depth 0, type 5, seed 5224, output 1761916630 (0 descendants)
